topic,total_posts,positive,neutral,negative,avg_polarity,avg_subjectivity,dominant_emotion,avg_upvotes,avg_comments
Technology/Gadgets,987,466,460,61,0.10384443188207507,0.4042708976910373,neutral,15.852077001013171,14.243161094224924
Housing/Real Estate,894,399,446,49,0.10144605712385034,0.38932427121818297,neutral,16.949664429530202,12.192393736017896
Education/Career,834,386,399,49,0.0966411265001537,0.3892699442013116,neutral,14.128297362110311,12.30095923261391
Shopping/Commerce,416,206,186,24,0.1182448055833607,0.39201253582992884,neutral,13.483173076923077,10.235576923076923
Infrastructure/Urban,387,169,198,20,0.08491149406884786,0.393196084440221,neutral,18.73643410852713,13.643410852713178
Relationships/Social,368,191,161,16,0.1322005072232386,0.4390169140685136,joy,19.19836956521739,16.078804347826086
Travel/Transportation,354,184,157,13,0.11744493328819575,0.41217117603202585,neutral,18.87853107344633,13.59322033898305
Food/Dining,349,182,149,18,0.12133598220687601,0.4314967559022734,joy,20.183381088825215,15.802292263610315
Sports/Recreation,243,94,132,17,0.08436927270055287,0.42296211515430376,neutral,24.448559670781894,18.041152263374485
Politics/Government,211,74,125,12,0.08221553482806354,0.39174552225620035,neutral,32.4218009478673,24.18957345971564
General,180,40,124,16,0.06973762893485116,0.21492128026294693,neutral,16.55,14.827777777777778
Health/Medical,166,65,88,13,0.07151265814090896,0.416778869498947,neutral,19.96385542168675,18.759036144578314
