title,author,upvotes,polarity,emotion,topics
Trusted sites to order stuff from usa?,skeletal_sniper,3,1.0,neutral,Shopping/Commerce
Best Tour Place Suggestions for Couples in December,Captain_Sparrow07,2,1.0,neutral,"Travel/Transportation, Relationships/Social"
Coaching for olevels,Rxspberries_,9,1.0,neutral,General
Coaching for o'level  ,Rxspberries_,3,1.0,neutral,General
Internet connection,Physical_Biscotti257,2,1.0,neutral,"Technology/Gadgets, Sports/Recreation"
Breakfast recommendation at Dhanmondi,shams_nobee,2,1.0,neutral,Relationships/Social
All you can eat Buffet,whatevermeme,19,1.0,neutral,"Housing/Real Estate, Food/Dining"
Motivation ✴️✨,Jumpy-Selection-7728,12,1.0,joy,Food/Dining
Best thrifting place in Dhaka??,DebtLess2374,5,0.9,joy,"Housing/Real Estate, Food/Dining"
Need Suggestions for Men’s Salons in Dhaka,NoPerception9519,4,0.85,joy,"Housing/Real Estate, Technology/Gadgets"
"Best ISP for puran dhaka, gendaria and bikrampur",yourbasicchad,2,0.85,joy,"Housing/Real Estate, Technology/Gadgets, Education/Career"
Do guys find girls with nose piercings attractive?,sabia__,56,0.8,neutral,General
Want to learn to cook,LessTell,12,0.7999999999999999,joy,Food/Dining
Best place for cataract surgery in Dhaka?,Available-Ad-1014,5,0.7,joy,"Housing/Real Estate, Health/Medical"
"Anyone you did kidney surgery at Bangladesh Specialized Hospital, 21 Mirpur Rd. https://bdspecializedhospital.com/  ? is this good hospital for kidney tumor removal?",Suspicious-Ad-2444,3,0.7,joy,Health/Medical
