title,author,upvotes,polarity,emotion,topics
Which MBA is better for the BD job market.,Otcoron,0,-0.8,neutral,"Education/Career, Shopping/Commerce"
Which University in Bangladesh offers the best CSE or EEE course ?,CaptainSmarty,0,-0.8,neutral,"Technology/Gadgets, Education/Career"
Bangladesh needs help,asmrabbi,1,-0.75,neutral,"Housing/Real Estate, Technology/Gadgets"
Ahsan Manzil Dhaka 1975,erepresent,9,-0.75,neutral,Housing/Real Estate
গীজার (geyser) কিনতে চাচ্ছি,Select-Day-873,9,-0.75,neutral,"Food/Dining, Shopping/Commerce"
Fb page posting pics of women without consent,jasontoddloverr,57,-0.7333333333333333,anger,General
Money,Aggressive-Tooth-231,6,-0.6999999999999998,anger,Health/Medical
BUET admission test viva,Windy-Orbits,3,-0.6999999999999998,anger,Education/Career
Anyone from MS Maths at AUST?,Remarkable-Pair-6779,2,-0.65,neutral,"Technology/Gadgets, Education/Career"
best place to chill near Puran dhaka? ,Snuffy2022,2,-0.5571428571428572,anger,Housing/Real Estate
"Mood swings , Anger issues",Dismal-Ad-9648,3,-0.5499999999999999,anger,"Health/Medical, Sports/Recreation"
Earthquake-Aftershocks,rion__2036,11,-0.5,anger,General
National bank,No_Tailor2427,4,-0.5,neutral,Technology/Gadgets
Posture problem - Any good treatment in Dhaka?,LessTell,1,-0.4799999999999999,anger,"Housing/Real Estate, Technology/Gadgets, Food/Dining, Health/Medical"
Jobless,Adventurous_Milk_425,13,-0.4749999999999999,anger,Education/Career
