topic,posts,positive,negative,neutral,avg_polarity,avg_upvotes,total_upvotes
General/Miscellaneous,846,118,47,681,0.046403818879439444,13.157210401891254,11131
Education/Career,177,28,13,136,0.03425284167339252,10.457627118644067,1851
Shopping/Commerce,113,31,7,75,0.1027563075911874,8.619469026548673,974
Technology/Gadgets,86,19,5,62,0.10897639182522904,10.232558139534884,880
Travel/Transportation,79,11,6,62,0.04694492392277202,16.658227848101266,1316
Food/Dining,60,15,3,42,0.11166666666666666,13.516666666666667,811
Housing/Real Estate,45,3,2,40,0.014981158927634906,15.311111111111112,689
Relationships/Social,37,14,2,21,0.171243564993565,14.567567567567568,539
Sports/Recreation,28,5,1,22,0.11964285714285715,5.785714285714286,162
Politics/Government,25,5,3,17,0.04781818181818182,24.28,607
Healthcare/Medical,24,6,3,15,0.08880208333333332,15.125,363
Services/Professional,17,5,2,10,0.15147058823529413,7.529411764705882,128
