title,author,upvotes,combined_polarity,topics
A Bangladeshi couple who died in the 9/11 attacks.,Maverick_00x,557,0.15000000000000002,"Career/Jobs, Relationships, Technology, Real Estate"
"For everyone who’s clueless about what’s happening, here’s the context.",StuckintheTraffic,490,0.35,Technology
Bangladesh wins,HinduShibir,218,0.2916666666666667,Real Estate
Struggling Dad Begging for Help: Seeking Job Opportunities,sunny_sun92,215,0.05763888888888889,"Education, Career/Jobs, Food/Restaurants, Politics/Government, Sports, Technology, Real Estate"
পোশাক নিয়ে কটুক্তিকারীকে জুতাপেটা করলেন তরুণী,AtikulIslam4142,207,0.05625,"Food/Restaurants, Sports, Technology, Real Estate, Infrastructure"
Desperate Dad in Dhaka Seeking Job and Urgent Help – Father of Two Little Girls Facing Eviction and Power Cutoff,sunny_sun92,205,-0.1302185960591133,"Education, Career/Jobs, Relationships, Shopping/Commerce, Food/Restaurants, Politics/Government, Sports, Technology, Real Estate, Infrastructure"
A shame for the nation and our people also the future,Longjumping-Boot-713,198,0.16969696969696968,"Education, Politics/Government, Technology, Real Estate"
Found these cracks in my wall after the recent earthquake. Should I be worried?,MasaniYasin,183,0.06444444444444444,Other
Life Advice: Be a Nerd or an Extremely Hard Worker.,_War_Daddy,181,-0.04757653061224494,"Education, Career/Jobs, Food/Restaurants, Technology, Infrastructure"
"Almost fainted in the metro today, grateful for kind strangers",SentientSideChara,178,0.35571895424836597,"Relationships, Food/Restaurants, Technology, Real Estate, Infrastructure"
Should I drop out of BUET?,ItchyTranslator2244,173,0.15833333333333333,"Education, Politics/Government, Technology, Real Estate, Infrastructure"
Proud ঢাবিয়ান,failure_as_a_sperm,169,0.51,"Education, Infrastructure"
Now that shibir has won..,Fantastic-Freedom754,160,0.075,Technology
Estimated magnitude 5.2 earthquake,humble_akhBD,153,0.35,Technology
NCP is shit fake !,Hot_Key2000,153,-0.11875,"Education, Career/Jobs"
Does this look like a Hindu goddess?,Infinite-Sector-8694,151,0.05714285714285715,Technology
Bangladeshi women should stop settling for less. We are enabling these losers,QuietSuccessfull,149,-0.00779478458049887,"Relationships, Health/Medical, Food/Restaurants, Sports, Technology"
Two Girls Getting Attacked By An Old Man and 30 Others For Smoking (Details),ssj_iftekhar9001,142,0.13589743589743591,"Shopping/Commerce, Food/Restaurants, Technology"
"A peanut seller counts his loss as his Tk3,000....",Plastic_Repeat_995,124,0.1847222222222222,"Education, Shopping/Commerce, Politics/Government, Real Estate"
Regarding the BUET incident and our stance on the matter,ImperialOverlord,119,0.1324404761904762,"Education, Politics/Government, Sports, Technology"
